Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals difference,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0.31,0,1000,0,0.154479,0.308958
0.5,0.31,0,1000,0,0.155276,0.310553
0.5,0.31,0,1000,0,0.155313,0.310626
0.5,0.31,0,1000,0,0.154154,0.308309
0.5,0.31,0,1000,0,0.155155,0.310311
0.5,0.31,0,1000,0,0.155304,0.310609
0.5,0.31,0,1000,0,0.154334,0.308669
0.5,0.31,0,1000,0,0.154204,0.308408
0.5,0.31,0,1000,0,0.154571,0.309143
0.5,0.31,0,1000,0,0.154727,0.309453
0.5,0.32,0,1000,0,0.15967,0.319341
0.5,0.32,0,1000,0,0.160446,0.320891
0.5,0.32,0,1000,0,0.160393,0.320786
0.5,0.32,0,1000,0,0.160887,0.321773
0.5,0.32,0,1000,0,0.160287,0.320574
0.5,0.32,0,1000,0,0.160121,0.320243
0.5,0.32,0,1000,0,0.160519,0.321038
0.5,0.32,0,1000,0,0.160403,0.320806
0.5,0.32,0,1000,0,0.160162,0.320323
0.5,0.32,0,1000,0,0.160347,0.320694
0.5,0.33,0,1000,0,0.164778,0.329555
0.5,0.33,0,1000,0,0.164949,0.329897
0.5,0.33,0,1000,0,0.165286,0.330573
0.5,0.33,0,1000,0,0.164929,0.329858
0.5,0.33,0,1000,0,0.164353,0.328706
0.5,0.33,0,1000,0,0.164985,0.32997
0.5,0.33,0,1000,0,0.164569,0.329139
0.5,0.33,0,1000,0,0.164713,0.329425
0.5,0.33,0,1000,0,0.165341,0.330681
0.5,0.33,0,1000,0,0.165192,0.330384
0.5,0.34,0,1000,0,0.171205,0.342411
0.5,0.34,0,1000,0,0.170533,0.341066
0.5,0.34,0,1000,0,0.170434,0.340868
0.5,0.34,0,1000,0,0.170051,0.340103
0.5,0.34,0,1000,0,0.169971,0.339941
0.5,0.34,0,1000,0,0.169925,0.339849
0.5,0.34,0,1000,0,0.170314,0.340629
0.5,0.34,0,1000,0,0.169278,0.338556
0.5,0.34,0,1000,0,0.169816,0.339632
0.5,0.34,0,1000,0,0.170293,0.340586
0.5,0.35,0,1000,0,0.175372,0.350745
0.5,0.35,0,1000,0,0.175631,0.351262
0.5,0.35,0,1000,0,0.174908,0.349815
0.5,0.35,0,1000,0,0.17557,0.351141
0.5,0.35,0,1000,0,0.174548,0.349096
0.5,0.35,0,1000,0,0.175551,0.351102
0.5,0.35,0,1000,0,0.174834,0.349668
0.5,0.35,0,1000,0,0.175626,0.351253
0.5,0.35,0,1000,0,0.175053,0.350106
0.5,0.35,0,1000,0,0.174889,0.349779
0.5,0.36,0,1000,0,0.179868,0.359735
0.5,0.36,0,1000,0,0.180012,0.360023
0.5,0.36,0,1000,0,0.179174,0.358349
0.5,0.36,0,1000,0,0.18064,0.361281
0.5,0.36,0,1000,0,0.179827,0.359655
0.5,0.36,0,1000,0,0.179877,0.359754
0.5,0.36,0,1000,0,0.180188,0.360376
0.5,0.36,0,1000,0,0.180325,0.360651
0.5,0.36,0,1000,0,0.180967,0.361934
0.5,0.36,0,1000,0,0.180598,0.361195
0.5,0.37,0,1000,0,0.185421,0.370843
0.5,0.37,0,1000,0,0.186043,0.372086
0.5,0.37,0,1000,0,0.184824,0.369648
0.5,0.37,0,1000,0,0.185983,0.371965
0.5,0.37,0,1000,0,0.184673,0.369346
0.5,0.37,0,1000,0,0.185106,0.370212
0.5,0.37,0,1000,0,0.184489,0.368979
0.5,0.37,0,1000,0,0.184887,0.369773
0.5,0.37,0,1000,0,0.184782,0.369564
0.5,0.37,0,1000,0,0.184982,0.369964
0.5,0.38,0,1000,0,0.189656,0.379312
0.5,0.38,0,1000,0,0.190115,0.38023
0.5,0.38,0,1000,0,0.19017,0.380341
0.5,0.38,0,1000,0,0.189134,0.378268
0.5,0.38,0,1000,0,0.189415,0.378829
0.5,0.38,0,1000,0,0.190447,0.380894
0.5,0.38,0,1000,0,0.18932,0.37864
0.5,0.38,0,1000,0,0.189514,0.379028
0.5,0.38,0,1000,0,0.189811,0.379622
0.5,0.38,0,1000,0,0.190005,0.380011
0.5,0.39,0,1000,0,0.195542,0.391084
0.5,0.39,0,1000,0,0.195369,0.390737
0.5,0.39,0,1000,0,0.194906,0.389813
0.5,0.39,0,1000,0,0.194577,0.389153
0.5,0.39,0,1000,0,0.19552,0.391041
0.5,0.39,0,1000,0,0.195511,0.391022
0.5,0.39,0,1000,0,0.195413,0.390826
0.5,0.39,0,1000,0,0.195378,0.390756
0.5,0.39,0,1000,0,0.195706,0.391412
0.5,0.39,0,1000,0,0.194886,0.389773
0.5,0.4,0,1000,0,0.199918,0.399836
0.5,0.4,0,1000,0,0.19949,0.398979
0.5,0.4,0,1000,0,0.200235,0.40047
0.5,0.4,0,1000,0,0.200053,0.400107
0.5,0.4,0,1000,0,0.200284,0.400568
0.5,0.4,0,1000,0,0.199018,0.398036
0.5,0.4,0,1000,0,0.200721,0.401442
0.5,0.4,0,1000,0,0.199931,0.399862
0.5,0.4,0,1000,0,0.20059,0.401181
0.5,0.4,0,1000,0,0.1999,0.3998
0.5,0.41,0,1000,0,0.205349,0.410697
0.5,0.41,0,1000,0,0.205513,0.411025
0.5,0.41,0,1000,0,0.204539,0.409077
0.5,0.41,0,1000,0,0.205585,0.411171
0.5,0.41,0,1000,0,0.205551,0.411103
0.5,0.41,0,1000,0,0.204794,0.409588
0.5,0.41,0,1000,0,0.204575,0.40915
0.5,0.41,0,1000,0,0.204717,0.409434
0.5,0.41,0,1000,0,0.2053,0.4106
0.5,0.41,0,1000,0,0.205148,0.410297
0.5,0.42,0,1000,0,0.209838,0.419677
0.5,0.42,0,1000,0,0.209829,0.419658
0.5,0.42,0,1000,0,0.209583,0.419167
0.5,0.42,0,1000,0,0.208686,0.417372
0.5,0.42,0,1000,0,0.210357,0.420713
0.5,0.42,0,1000,0,0.210044,0.420088
0.5,0.42,0,1000,0,0.209394,0.418789
0.5,0.42,0,1000,0,0.210159,0.420318
0.5,0.42,0,1000,0,0.210101,0.420203
0.5,0.42,0,1000,0,0.210393,0.420787
0.5,0.43,0,1000,0,0.214552,0.429104
0.5,0.43,0,1000,0,0.214473,0.428945
0.5,0.43,0,1000,0,0.214704,0.429409
0.5,0.43,0,1000,0,0.215154,0.430308
0.5,0.43,0,1000,0,0.215487,0.430974
0.5,0.43,0,1000,0,0.214906,0.429813
0.5,0.43,0,1000,0,0.21601,0.432021
0.5,0.43,0,1000,0,0.214974,0.429947
0.5,0.43,0,1000,0,0.21515,0.430301
0.5,0.43,0,1000,0,0.215155,0.43031
0.5,0.44,0,1000,0,0.220063,0.440127
0.5,0.44,0,1000,0,0.219252,0.438503
0.5,0.44,0,1000,0,0.22005,0.4401
0.5,0.44,0,1000,0,0.22095,0.441899
0.5,0.44,0,1000,0,0.220996,0.441991
0.5,0.44,0,1000,0,0.219763,0.439526
0.5,0.44,0,1000,0,0.219852,0.439703
0.5,0.44,0,1000,0,0.220876,0.441753
0.5,0.44,0,1000,0,0.218549,0.437098
0.5,0.44,0,1000,0,0.220094,0.440188
0.5,0.45,0,1000,0,0.225099,0.450198
0.5,0.45,0,1000,0,0.225528,0.451056
0.5,0.45,0,1000,0,0.224935,0.449871
0.5,0.45,0,1000,0,0.225245,0.45049
0.5,0.45,0,1000,0,0.224948,0.449896
0.5,0.45,0,1000,0,0.225982,0.451963
0.5,0.45,0,1000,0,0.22432,0.44864
0.5,0.45,0,1000,0,0.224709,0.449419
0.5,0.45,0,1000,0,0.224305,0.44861
0.5,0.45,0,1000,0,0.224834,0.449668
0.5,0.46,0,1000,0,0.229681,0.459362
0.5,0.46,0,1000,0,0.230221,0.460442
0.5,0.46,0,1000,0,0.230968,0.461935
0.5,0.46,0,1000,0,0.229939,0.459878
0.5,0.46,0,1000,0,0.230544,0.461088
0.5,0.46,0,1000,0,0.228969,0.457937
0.5,0.46,0,1000,0,0.230221,0.460442
0.5,0.46,0,1000,0,0.228869,0.457738
0.5,0.46,0,1000,0,0.230252,0.460504
0.5,0.46,0,1000,0,0.229379,0.458758
0.5,0.47,0,1000,0,0.23518,0.470361
0.5,0.47,0,1000,0,0.234525,0.46905
0.5,0.47,0,1000,0,0.235133,0.470266
0.5,0.47,0,1000,0,0.236506,0.473013
0.5,0.47,0,1000,0,0.23462,0.469241
0.5,0.47,0,1000,0,0.234168,0.468336
0.5,0.47,0,1000,0,0.235064,0.470129
0.5,0.47,0,1000,0,0.235685,0.471371
0.5,0.47,0,1000,0,0.234275,0.468549
0.5,0.47,0,1000,0,0.235308,0.470615
0.5,0.48,0,1000,0,0.239736,0.479472
0.5,0.48,0,1000,0,0.240704,0.481408
0.5,0.48,0,1000,0,0.239309,0.478617
0.5,0.48,0,1000,0,0.239151,0.478302
0.5,0.48,0,1000,0,0.239985,0.479971
0.5,0.48,0,1000,0,0.239206,0.478411
0.5,0.48,0,1000,0,0.239666,0.479333
0.5,0.48,0,1000,0,0.239167,0.478334
0.5,0.48,0,1000,0,0.240612,0.481224
0.5,0.48,0,1000,0,0.239639,0.479278
0.5,0.49,0,1000,0,0.245676,0.491352
0.5,0.49,0,1000,0,0.244222,0.488444
0.5,0.49,0,1000,0,0.244883,0.489767
0.5,0.49,0,1000,0,0.244915,0.489829
0.5,0.49,0,1000,0,0.244366,0.488733
0.5,0.49,0,1000,0,0.244679,0.489357
0.5,0.49,0,1000,0,0.245192,0.490384
0.5,0.49,0,1000,0,0.245689,0.491377
0.5,0.49,0,1000,0,0.246006,0.492011
0.5,0.49,0,1000,0,0.24522,0.490439
0.5,0.5,0,1000,0,0.249785,0.49957
0.5,0.5,0,1000,0,0.250962,0.501925
0.5,0.5,0,1000,0,0.24995,0.4999
0.5,0.5,0,1000,0,0.249464,0.498927
0.5,0.5,0,1000,0,0.250035,0.50007
0.5,0.5,0,1000,0,0.249981,0.499963
0.5,0.5,0,1000,0,0.250525,0.50105
0.5,0.5,0,1000,0,0.250135,0.50027
0.5,0.5,0,1000,0,0.250327,0.500653
0.5,0.5,0,1000,0,0.249456,0.498912
0.51,0,0,1000,0,0,0
0.51,0.01,0,1000,0,0.00505774,0.0101155
0.51,0.01,0,1000,0,0.00501042,0.0100208
0.51,0.01,0,1000,0,0.00503284,0.0100657
0.51,0.01,0,1000,0,0.0049881,0.0099762
0.51,0.01,0,1000,0,0.00499802,0.00999604
0.51,0.01,0,1000,0,0.00497846,0.00995692
0.51,0.01,0,1000,0,0.00502988,0.0100598
0.51,0.01,0,1000,0,0.00500605,0.0100121
0.51,0.01,0,1000,0,0.00499946,0.00999891
0.51,0.01,0,1000,0,0.00503299,0.010066
0.51,0.02,0,1000,0,0.00997517,0.0199503
0.51,0.02,0,1000,0,0.0100474,0.0200947
0.51,0.02,0,1000,0,0.00999217,0.0199843
0.51,0.02,0,1000,0,0.0100055,0.020011
0.51,0.02,0,1000,0,0.0100027,0.0200055
0.51,0.02,0,1000,0,0.00991701,0.019834
0.51,0.02,0,1000,0,0.0100236,0.0200471
0.51,0.02,0,1000,0,0.00999882,0.0199976
0.51,0.02,0,1000,0,0.00997654,0.0199531
0.51,0.02,0,1000,0,0.00999843,0.0199969
0.51,0.03,0,1000,0,0.0149913,0.0299826
0.51,0.03,0,1000,0,0.0150731,0.0301462
0.51,0.03,0,1000,0,0.0149602,0.0299205
0.51,0.03,0,1000,0,0.0150376,0.0300753
0.51,0.03,0,1000,0,0.0149175,0.0298351
0.51,0.03,0,1000,0,0.015054,0.0301081
0.51,0.03,0,1000,0,0.0150149,0.0300297
0.51,0.03,0,1000,0,0.0150812,0.0301624
0.51,0.03,0,1000,0,0.0150524,0.0301048
0.51,0.03,0,1000,0,0.0150233,0.0300466
0.51,0.04,0,1000,0,0.0200614,0.0401229
