Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals difference,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0.49,0,1000,0,0.325805,0.488912
0.5,0.49,0,1000,0,0.327684,0.491822
0.5,0.49,0,1000,0,0.32713,0.490705
0.5,0.49,0,1000,0,0.325856,0.489218
0.5,0.49,0,1000,0,0.326487,0.489789
0.5,0.49,0,1000,0,0.326502,0.489387
0.5,0.49,0,1000,0,0.326855,0.490151
0.5,0.5,0,1000,0,0.332819,0.499274
0.5,0.5,0,1000,0,0.332922,0.4989
0.5,0.5,0,1000,0,0.333142,0.499508
0.5,0.5,0,1000,0,0.331749,0.4975
0.5,0.5,0,1000,0,0.332105,0.498298
0.5,0.5,0,1000,0,0.334662,0.501819
0.5,0.5,0,1000,0,0.333103,0.49953
0.5,0.5,0,1000,0,0.332963,0.499416
0.5,0.5,0,1000,0,0.332427,0.498691
0.5,0.5,0,1000,0,0.332274,0.498097
0.51,0,0,1000,0,0,0
0.51,0.01,0,1000,0,0.00670954,0.0100422
0.51,0.01,0,1000,0,0.00662564,0.00994819
0.51,0.01,0,1000,0,0.00667023,0.0100154
0.51,0.01,0,1000,0,0.00661735,0.00992229
0.51,0.01,0,1000,0,0.00668989,0.0100394
0.51,0.01,0,1000,0,0.00666253,0.00999762
0.51,0.01,0,1000,0,0.00660982,0.00992122
0.51,0.01,0,1000,0,0.00664041,0.00997186
0.51,0.01,0,1000,0,0.00661952,0.00992219
0.51,0.01,0,1000,0,0.00671382,0.0100646
0.51,0.02,0,1000,0,0.0132287,0.0198641
0.51,0.02,0,1000,0,0.013311,0.0199363
0.51,0.02,0,1000,0,0.0134699,0.0202011
0.51,0.02,0,1000,0,0.0133065,0.0199468
0.51,0.02,0,1000,0,0.0134145,0.0201086
0.51,0.02,0,1000,0,0.0132883,0.0199408
0.51,0.02,0,1000,0,0.0135216,0.0202571
0.51,0.02,0,1000,0,0.0132562,0.0198757
0.51,0.02,0,1000,0,0.0133692,0.0200653
0.51,0.02,0,1000,0,0.0133047,0.0199755
0.51,0.03,0,1000,0,0.0200761,0.030163
0.51,0.03,0,1000,0,0.0200276,0.0300756
0.51,0.03,0,1000,0,0.0199876,0.0300058
0.51,0.03,0,1000,0,0.0199404,0.029906
0.51,0.03,0,1000,0,0.0198587,0.029749
0.51,0.03,0,1000,0,0.0201047,0.0301703
0.51,0.03,0,1000,0,0.0199693,0.0299466
0.51,0.03,0,1000,0,0.0199204,0.0298994
0.51,0.03,0,1000,0,0.0199952,0.0299526
0.51,0.03,0,1000,0,0.0200793,0.0301265
0.51,0.04,0,1000,0,0.0266259,0.0399356
0.51,0.04,0,1000,0,0.0266854,0.0400577
0.51,0.04,0,1000,0,0.0266536,0.0399031
