Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0.49,1000,0,0.244989,0.489979
0.5,0.49,1000,0,0.244538,0.489076
0.5,0.49,1000,0,0.244532,0.489064
0.5,0.49,1000,0,0.244468,0.488937
0.5,0.49,1000,0,0.245622,0.491244
0.5,0.49,1000,0,0.244726,0.489452
0.5,0.49,1000,0,0.245653,0.491307
0.5,0.5,1000,0,0.250004,0.500008
0.5,0.5,1000,0,0.249576,0.499151
0.5,0.5,1000,0,0.249979,0.499958
0.5,0.5,1000,0,0.249619,0.499239
0.5,0.5,1000,0,0.250747,0.501494
0.5,0.5,1000,0,0.250164,0.500328
0.5,0.5,1000,0,0.250011,0.500023
0.5,0.5,1000,0,0.249296,0.498591
0.5,0.5,1000,0,0.250741,0.501482
0.5,0.5,1000,0,0.250003,0.500005
0.51,0,1000,0,0,0
0.51,0.01,1000,0,0.00500208,0.0100042
0.51,0.01,1000,0,0.00500778,0.0100156
0.51,0.01,1000,0,0.00497817,0.00995633
0.51,0.01,1000,0,0.00501634,0.0100327
0.51,0.01,1000,0,0.00499066,0.00998132
0.51,0.01,1000,0,0.00500317,0.0100063
0.51,0.01,1000,0,0.00497895,0.0099579
0.51,0.01,1000,0,0.00499594,0.00999189
0.51,0.01,1000,0,0.00500317,0.0100063
0.51,0.01,1000,0,0.00496202,0.00992405
0.51,0.02,1000,0,0.00999422,0.0199884
0.51,0.02,1000,0,0.00997322,0.0199464
0.51,0.02,1000,0,0.00997235,0.0199447
0.51,0.02,1000,0,0.0099463,0.0198926
0.51,0.02,1000,0,0.00995221,0.0199044
0.51,0.02,1000,0,0.00998142,0.0199628
0.51,0.02,1000,0,0.0100016,0.0200031
0.51,0.02,1000,0,0.0100299,0.0200598
0.51,0.02,1000,0,0.0100319,0.0200639
0.51,0.02,1000,0,0.00999951,0.019999
0.51,0.03,1000,0,0.0150092,0.0300183
0.51,0.03,1000,0,0.0150032,0.0300064
0.51,0.03,1000,0,0.0151139,0.0302278
0.51,0.03,1000,0,0.0149482,0.0298965
0.51,0.03,1000,0,0.015112,0.030224
0.51,0.03,1000,0,0.0150125,0.030025
0.51,0.03,1000,0,0.0149639,0.0299277
0.51,0.03,1000,0,0.0150195,0.030039
0.51,0.03,1000,0,0.0150941,0.0301883
0.51,0.03,1000,0,0.0149358,0.0298716
0.51,0.04,1000,0,0.0200858,0.0401716
0.51,0.04,1000,0,0.0199787,0.0399574
0.51,0.04,1000,0,0.0200624,0.0401248
0.51,0.04,1000,0,0.0200543,0.0401086
0.51,0.04,1000,0,0.0201213,0.0402426
0.51,0.04,1000,0,0.0197333,0.0394666
0.51,0.04,1000,0,0.0200841,0.0401681
0.51,0.04,1000,0,0.0201112,0.0402224
0.51,0.04,1000,0,0.02003,0.04006
0.51,0.04,1000,0,0.0200175,0.040035
0.51,0.05,1000,0,0.0250827,0.0501654
0.51,0.05,1000,0,0.02503,0.0500599
0.51,0.05,1000,0,0.0249779,0.0499559
0.51,0.05,1000,0,0.0250285,0.0500571
0.51,0.05,1000,0,0.0249181,0.0498362
0.51,0.05,1000,0,0.0249817,0.0499635
0.51,0.05,1000,0,0.0249846,0.0499691
0.51,0.05,1000,0,0.0250059,0.0500119
0.51,0.05,1000,0,0.0251313,0.0502626
0.51,0.05,1000,0,0.0249623,0.0499246
0.51,0.06,1000,0,0.0302552,0.0605104
0.51,0.06,1000,0,0.0301039,0.0602079
0.51,0.06,1000,0,0.0301426,0.0602852
0.51,0.06,1000,0,0.0301005,0.0602011
0.51,0.06,1000,0,0.0299418,0.0598837
0.51,0.06,1000,0,0.02985,0.0597
0.51,0.06,1000,0,0.0299023,0.0598046
0.51,0.06,1000,0,0.03016,0.06032
0.51,0.06,1000,0,0.0302391,0.0604783
0.51,0.06,1000,0,0.0299138,0.0598275
0.51,0.07,1000,0,0.0346579,0.0693158
0.51,0.07,1000,0,0.0349921,0.0699841
0.51,0.07,1000,0,0.0350648,0.0701295
0.51,0.07,1000,0,0.0349459,0.0698918
0.51,0.07,1000,0,0.034994,0.069988
0.51,0.07,1000,0,0.0350837,0.0701674
0.51,0.07,1000,0,0.0351821,0.0703642
0.51,0.07,1000,0,0.0351443,0.0702886
0.51,0.07,1000,0,0.0350886,0.0701772
0.51,0.07,1000,0,0.0351132,0.0702263
0.51,0.08,1000,0,0.0400545,0.0801091
0.51,0.08,1000,0,0.0400678,0.0801356
0.51,0.08,1000,0,0.0402161,0.0804321
0.51,0.08,1000,0,0.0401089,0.0802177
0.51,0.08,1000,0,0.039743,0.0794859
0.51,0.08,1000,0,0.0399067,0.0798135
0.51,0.08,1000,0,0.0400265,0.080053
