Germline Resistance,Max Freq with at Least One Drive Chromosome,Gens of Max Freq,Drive Allele Freq Here, Gens to Reach 99%
0.93,1,10,1,10
0.93,1,9,1,8
0.94,1,9,1,8
0.94,1,9,1,8
0.94,1,10,1,9
0.94,1,9,1,9
0.94,1,9,1,8
0.94,1,12,1,9
0.94,1,10,1,10
0.94,1,10,1,9
0.94,1,10,1,8
0.94,1,11,1,8
0.95,1,10,1,9
0.95,1,11,1,11
0.95,1,10,1,8
0.95,1,10,1,8
0.95,1,10,1,10
0.95,1,9,1,8
0.95,1,11,1,11
0.95,1,10,1,9
0.95,1,11,1,9
0.95,1,10,1,9
0.96,1,9,1,8
0.96,1,11,1,8
0.96,1,11,1,11
0.96,1,9,1,9
0.96,1,10,1,9
0.96,1,10,1,10
0.96,1,10,1,10
0.96,1,9,1,8
0.96,1,9,1,8
0.96,1,13,1,13
0.97,1,9,1,9
0.97,1,9,1,8
0.97,1,9,1,8
0.97,1,9,1,8
0.97,1,9,1,9
0.97,1,12,1,9
0.97,1,9,1,9
0.97,1,9,1,8
0.97,1,10,1,10
0.97,1,9,1,9
0.98,1,10,1,10
0.98,1,9,1,8
0.98,1,9,1,8
0.98,1,10,1,9
0.98,1,9,1,8
0.98,1,9,1,8
0.98,1,9,1,8
0.98,1,9,1,8
0.98,1,12,1,8
0.98,1,8,1,7
0.99,1,10,1,9
0.99,1,11,1,11
0.99,1,9,1,9
0.99,1,10,1,10
0.99,1,9,1,8
0.99,1,9,1,8
0.99,1,9,1,8
0.99,1,10,1,10
0.99,1,9,1,9
0.99,1,10,1,10
1,1,9,1,8
1,1,9,1,9
1,1,9,1,8
1,1,11,1,11
1,1,8,1,8
1,1,9,1,8
1,1,9,1,8
1,1,10,1,10
1,1,9,1,9
1,1,8,1,8
